resource_id,concept_id,relation,source_field
r000000,subject:natural_science,has_subject,subject
r000000,topic:weather_and_climate,has_topic,topic
r000000,category:measurement,has_category,category
r000000,skill:read_a_thermometer,has_skill,skill
r000000,grade:grade2,has_grade,grade
r000001,subject:natural_science,has_subject,subject
r000001,topic:forces_and_motion,has_topic,topic
r000001,category:forces,has_category,category
r000001,skill:identify_gravity,has_skill,skill
r000001,grade:grade3,has_grade,grade
r000002,subject:natural_science,has_subject,subject
r000002,topic:animals,has_topic,topic
r000002,category:classification,has_category,category
r000002,skill:classify_vertebrates,has_skill,skill
r000002,grade:grade3,has_grade,grade
r000003,subject:language_science,has_subject,subject
r000003,topic:punctuation,has_topic,topic
r000003,category:grammar,has_category,category
r000003,skill:use_exclamation_marks,has_skill,skill
r000003,grade:grade2,has_grade,grade
r000004,subject:natural_science,has_subject,subject
r000004,topic:matter,has_topic,topic
r000004,category:properties,has_category,category
r000004,skill:identify_magnetic_materials,has_skill,skill
r000004,grade:grade4,has_grade,grade
r000005,subject:language_science,has_subject,subject
r000005,topic:parts_of_speech,has_topic,topic
r000005,category:grammar,has_category,category
r000005,skill:identify_verbs,has_skill,skill
r000005,grade:grade2,has_grade,grade
r000006,subject:natural_science,has_subject,subject
r000006,topic:simple_machines,has_topic,topic
r000006,category:machines,has_category,category
r000006,skill:identify_pulleys,has_skill,skill
r000006,grade:grade4,has_grade,grade
r000007,subject:language_science,has_subject,subject
r000007,topic:parts_of_speech,has_topic,topic
r000007,category:grammar,has_category,category
r000007,skill:identify_nouns,has_skill,skill
r000007,grade:grade2,has_grade,grade
r000008,subject:natural_science,has_subject,subject
r000008,topic:water_cycle,has_topic,topic
r000008,category:earth_science,has_category,category
r000008,skill:identify_evaporation,has_skill,skill
r000008,grade:grade4,has_grade,grade
r000009,subject:language_science,has_subject,subject
r000009,topic:spelling,has_topic,topic
r000009,category:vocabulary,has_category,category
r000009,skill:spell_common_words,has_skill,skill
r000009,grade:grade2,has_grade,grade
r000010,subject:natural_science,has_subject,subject
r000010,topic:plants,has_topic,topic
r000010,category:life_science,has_category,category
r000010,skill:identify_plant_parts,has_skill,skill
r000010,grade:grade3,has_grade,grade
r000011,subject:language_science,has_subject,subject
r000011,topic:antonyms,has_topic,topic
r000011,category:vocabulary,has_category,category
r000011,skill:identify_antonyms,has_skill,skill
r000011,grade:grade2,has_grade,grade
r000012,subject:natural_science,has_subject,subject
r000012,topic:light,has_topic,topic
r000012,category:physical_science,has_category,category
r000012,skill:identify_shadows,has_skill,skill
r000012,grade:grade3,has_grade,grade
r000013,subject:language_science,has_subject,subject
r000013,topic:contractions,has_topic,topic
r000013,category:grammar,has_category,category
r000013,skill:form_contractions,has_skill,skill
r000013,grade:grade2,has_grade,grade
r000014,subject:natural_science,has_subject,subject
r000014,topic:matter,has_topic,topic
r000014,category:properties,has_category,category
r000014,skill:predict_sinking_and_floating,has_skill,skill
r000014,grade:grade4,has_grade,grade
r000015,subject:language_science,has_subject,subject
r000015,topic:parts_of_speech,has_topic,topic
r000015,category:grammar,has_category,category
r000015,skill:identify_adjectives,has_skill,skill
r000015,grade:grade2,has_grade,grade
