scenario,model,split,threshold,n,positive_rate,accuracy,balanced_accuracy,macro_f1,positive_f1,positive_precision,positive_recall,tn,fp,fn,tp,pr_auc
original_split,majority,validation,,74,0.2972972972972973,0.7027027027027027,0.5,0.4126984126984127,0.0,0.0,0.0,52,0,22,0,0.2972972972972973
original_split,majority,test,,58,0.29310344827586204,0.7068965517241379,0.5,0.41414141414141414,0.0,0.0,0.0,41,0,17,0,0.29310344827586204
original_split,metadata,validation,0.5,74,0.2972972972972973,0.972972972972973,0.9807692307692308,0.9684569479965899,0.9565217391304348,0.9166666666666666,1.0,50,2,0,22,0.9941460055096418
original_split,metadata,test,0.5,58,0.29310344827586204,1.0,1.0,1.0,1.0,1.0,1.0,41,0,0,17,1.0
original_split,text,validation,0.35,74,0.2972972972972973,0.972972972972973,0.9807692307692308,0.9684569479965899,0.9565217391304348,0.9166666666666666,1.0,50,2,0,22,0.9878223226049312
original_split,text,test,0.35,58,0.29310344827586204,1.0,1.0,1.0,1.0,1.0,1.0,41,0,0,17,1.0
original_split,metadata_text,validation,0.35,74,0.2972972972972973,0.972972972972973,0.9807692307692308,0.9684569479965899,0.9565217391304348,0.9166666666666666,1.0,50,2,0,22,0.9941460055096418
original_split,metadata_text,test,0.35,58,0.29310344827586204,1.0,1.0,1.0,1.0,1.0,1.0,41,0,0,17,1.0
topic_holdout,majority,validation,,66,0.015151515151515152,0.9848484848484849,0.5,0.4961832061068702,0.0,0.0,0.0,65,0,1,0,0.015151515151515152
topic_holdout,majority,test,,64,0.015625,0.984375,0.5,0.49606299212598426,0.0,0.0,0.0,63,0,1,0,0.015625
topic_holdout,metadata,validation,0.2,66,0.015151515151515152,0.8484848484848485,0.9230769230769231,0.5416666666666666,0.16666666666666666,0.09090909090909091,1.0,55,10,0,1,0.1
topic_holdout,metadata,test,0.2,64,0.015625,0.96875,0.49206349206349204,0.49206349206349204,0.0,0.0,0.0,62,1,1,0,0.019230769230769232
topic_holdout,text,validation,0.55,66,0.015151515151515152,1.0,1.0,1.0,1.0,1.0,1.0,65,0,0,1,1.0
topic_holdout,text,test,0.55,64,0.015625,0.984375,0.5,0.49606299212598426,0.0,0.0,0.0,63,0,1,0,0.5
topic_holdout,metadata_text,validation,0.25,66,0.015151515151515152,0.8636363636363636,0.9307692307692308,0.5537190082644629,0.18181818181818182,0.1,1.0,56,9,0,1,0.1
topic_holdout,metadata_text,test,0.25,64,0.015625,0.96875,0.49206349206349204,0.49206349206349204,0.0,0.0,0.0,62,1,1,0,0.0196078431372549
skill_holdout,majority,validation,,64,0.296875,0.703125,0.5,0.41284403669724773,0.0,0.0,0.0,45,0,19,0,0.296875
skill_holdout,majority,test,,64,0.265625,0.734375,0.5,0.42342342342342343,0.0,0.0,0.0,47,0,17,0,0.265625
skill_holdout,metadata,validation,0.2,64,0.296875,0.859375,0.8543859649122807,0.8385197645079899,0.7804878048780488,0.7272727272727273,0.8421052631578947,39,6,3,16,0.7317402734436118
skill_holdout,metadata,test,0.2,64,0.265625,0.71875,0.6020025031289111,0.6081632653061224,0.4,0.46153846153846156,0.35294117647058826,40,7,11,6,0.4100581333444964
skill_holdout,text,validation,0.25,64,0.296875,0.84375,0.8432748538011696,0.82281284606866,0.7619047619047619,0.6956521739130435,0.8421052631578947,38,7,3,16,0.7660071355286054
skill_holdout,text,test,0.25,64,0.265625,0.890625,0.8692115143929913,0.8623655913978494,0.8,0.7777777777777778,0.8235294117647058,43,4,3,14,0.8552973555143113
skill_holdout,metadata_text,validation,0.15,64,0.296875,0.875,0.880701754385965,0.858250276854928,0.8095238095238095,0.7391304347826086,0.8947368421052632,39,6,2,17,0.7438439538053988
skill_holdout,metadata_text,test,0.15,64,0.265625,0.703125,0.6101376720901126,0.6121212121212122,0.42424242424242425,0.4375,0.4117647058823529,38,9,10,7,0.4739224399518336
