dataset,evidence_variant,query_variant,model,reason,n_queries,n_corpus,mrr,recall_at_1,recall_at_5,recall_at_10,mean_rank
scienceqa,full,question_only,tfidf,,198.0,190.0,0.8307745543369859,0.7373737373737373,0.9646464646464646,0.9797979797979798,2.8535353535353534
scienceqa,full,question_only,bm25,,198.0,190.0,0.8293064279583888,0.7424242424242424,0.9494949494949495,0.9848484848484849,2.45959595959596
scienceqa,full,question_choices,tfidf,,198.0,190.0,0.9361952861952864,0.8888888888888888,0.9949494949494949,1.0,1.1818181818181819
scienceqa,full,question_choices,bm25,,198.0,190.0,0.9345538720538723,0.8888888888888888,0.9949494949494949,1.0,1.196969696969697
scienceqa,full,question_choices_topic_skill,tfidf,,198.0,190.0,0.9340067340067341,0.8888888888888888,0.9949494949494949,1.0,1.207070707070707
scienceqa,full,question_choices_topic_skill,bm25,,198.0,190.0,0.9282407407407408,0.8737373737373737,0.9949494949494949,1.0,1.202020202020202
scienceqa,no_solution,question_only,tfidf,,169.0,128.0,0.6886570125019593,0.5798816568047337,0.8461538461538461,0.9112426035502958,6.443786982248521
scienceqa,no_solution,question_only,bm25,,169.0,128.0,0.7069346710577195,0.5739644970414202,0.8698224852071006,0.9230769230769231,6.627218934911243
scienceqa,no_solution,question_choices,tfidf,,169.0,128.0,0.7181720863993984,0.6035502958579881,0.863905325443787,0.9408284023668639,3.8875739644970415
scienceqa,no_solution,question_choices,bm25,,169.0,128.0,0.7508172591056091,0.6449704142011834,0.8757396449704142,0.9349112426035503,3.798816568047337
scienceqa,no_solution,question_choices_topic_skill,tfidf,,169.0,128.0,0.8112816558160688,0.7041420118343196,0.9467455621301775,0.9940828402366864,1.7988165680473374
scienceqa,no_solution,question_choices_topic_skill,bm25,,169.0,128.0,0.8261955992725222,0.7218934911242604,0.9704142011834319,0.9822485207100592,1.7633136094674555
scienceqa,hint_lecture,question_only,tfidf,,169.0,128.0,0.6886570125019593,0.5798816568047337,0.8461538461538461,0.9112426035502958,6.443786982248521
scienceqa,hint_lecture,question_only,bm25,,169.0,128.0,0.7069346710577195,0.5739644970414202,0.8698224852071006,0.9230769230769231,6.627218934911243
scienceqa,hint_lecture,question_choices,tfidf,,169.0,128.0,0.7181720863993984,0.6035502958579881,0.863905325443787,0.9408284023668639,3.8875739644970415
scienceqa,hint_lecture,question_choices,bm25,,169.0,128.0,0.7508172591056091,0.6449704142011834,0.8757396449704142,0.9349112426035503,3.798816568047337
scienceqa,hint_lecture,question_choices_topic_skill,tfidf,,169.0,128.0,0.8112816558160688,0.7041420118343196,0.9467455621301775,0.9940828402366864,1.7988165680473374
scienceqa,hint_lecture,question_choices_topic_skill,bm25,,169.0,128.0,0.8261955992725222,0.7218934911242604,0.9704142011834319,0.9822485207100592,1.7633136094674555
scienceqa,solution_only,question_only,tfidf,,185.0,177.0,0.8247966124472149,0.7351351351351352,0.9351351351351351,0.9945945945945946,2.616216216216216
scienceqa,solution_only,question_only,bm25,,185.0,177.0,0.8192834206840232,0.7351351351351352,0.9405405405405406,0.9837837837837838,2.924324324324324
scienceqa,solution_only,question_choices,tfidf,,185.0,177.0,0.94009009009009,0.8918918918918919,1.0,1.0,1.145945945945946
scienceqa,solution_only,question_choices,bm25,,185.0,177.0,0.9264864864864867,0.8810810810810811,1.0,1.0,1.227027027027027
scienceqa,solution_only,question_choices_topic_skill,tfidf,,185.0,177.0,0.9310810810810809,0.8756756756756757,1.0,1.0,1.1675675675675676
scienceqa,solution_only,question_choices_topic_skill,bm25,,185.0,177.0,0.9084684684684684,0.8432432432432433,1.0,1.0,1.2594594594594595
tqa_ck12,full,question_only,tfidf,,200.0,9.0,0.4551825396825395,0.21,0.745,1.0,3.58
tqa_ck12,full,question_only,bm25,,200.0,9.0,0.4348988095238095,0.215,0.72,1.0,3.8
tqa_ck12,full,question_choices,tfidf,,200.0,9.0,0.44036904761904766,0.21,0.735,1.0,3.76
tqa_ck12,full,question_choices,bm25,,200.0,9.0,0.4156567460317463,0.205,0.655,1.0,4.085
tqa_ck12,full,question_choices_topic_skill,tfidf,,200.0,9.0,0.8466666666666667,0.695,1.0,1.0,1.31
tqa_ck12,full,question_choices_topic_skill,bm25,,200.0,9.0,0.9166666666666669,0.84,1.0,1.0,1.18
tqa_ck12,no_solution,question_only,tfidf,,200.0,9.0,0.4539206349206348,0.21,0.745,1.0,3.605
tqa_ck12,no_solution,question_only,bm25,,200.0,9.0,0.43098214285714287,0.21,0.715,1.0,3.82
tqa_ck12,no_solution,question_choices,tfidf,,200.0,9.0,0.43670238095238106,0.2,0.74,1.0,3.76
tqa_ck12,no_solution,question_choices,bm25,,200.0,9.0,0.41374007936507967,0.205,0.66,1.0,4.105
tqa_ck12,no_solution,question_choices_topic_skill,tfidf,,200.0,9.0,0.8483333333333334,0.7,1.0,1.0,1.31
tqa_ck12,no_solution,question_choices_topic_skill,bm25,,200.0,9.0,0.9141666666666669,0.835,1.0,1.0,1.185
tqa_ck12,hint_lecture,question_only,skipped,empty eval rows or corpus < 2,0.0,0.0,,,,,
tqa_ck12,hint_lecture,question_choices,skipped,empty eval rows or corpus < 2,0.0,0.0,,,,,
tqa_ck12,hint_lecture,question_choices_topic_skill,skipped,empty eval rows or corpus < 2,0.0,0.0,,,,,
tqa_ck12,solution_only,question_only,skipped,empty eval rows or corpus < 2,0.0,0.0,,,,,
tqa_ck12,solution_only,question_choices,skipped,empty eval rows or corpus < 2,0.0,0.0,,,,,
tqa_ck12,solution_only,question_choices_topic_skill,skipped,empty eval rows or corpus < 2,0.0,0.0,,,,,
